sehir,isim,adres
Kayseri,"
Kıranatlı hotel
",Kocasinan bulvarı No:72
Kayseri,"
Hotel Kadıoğlu
",KicikapI Serdar Cad. No 45
Kayseri,"
Hotel Ayata
",Osman Kavuncu Cad. No100
Kayseri,"
AltInsaray Hotel Kayseri
",Kocasinan Bulv. Çevre Yolu No 72 Kocasinan Merkez
Kayseri,"
Atalay Hotel
",Gevher Nesibe Mah. Donanma Cad. No: 12
Kayseri,"
Diamond Hotel
",Osman kavuncu Bulvari No 107
Kayseri,"
Kayseri Park Hotel
",Osm. Kavuncu Bul. No. 79
Kayseri,"
City One Hotel
",Eski Sanayi Bolgesi 2 Cad. No:11 Kocasin
Kayseri,"
Amalia Hotel
",Erciyes Kis Turizm Merkezi
Kayseri,"
Selçuk Hotel
",Osman Kavuncu Cad. Gazi Bey Geçidi No 2
Kayseri,"
Grand Eras Hotel
",Şehit Miralay Nazım Bey Cad. No:6
Kayseri,"
Grand Eras Erciyes Otel
","Tekir Yaylası Erciyes Dağı Develi Merkez, Develi"
Kayseri,"
Bent
",Kocasinan Gevhernesibe
Kayseri,"
My Liva Hotel
",Kocasinan Bulvari No 58
Kayseri,"
Kayseri Kosk Hotel
",Cumhuriyet Mahallesi Ugur Sokak No:12
Kayseri,"
Gevher Hotel
","Necip Fazil Bulvari No:39, Melikgazi"
Kayseri,"
Imamoglu Pasa Hotel
",Kocasinan Bulvari No:24 Kocasinan
Kayseri,"
Nüzhet Otel
","Fatih Mah. Kocasinan Bulv. No:128 Sanayi, Kocasinan"
Kayseri,"
Mirada Del Lago Hotel
",Melik Gazi Ilcesi Tekir Yaylasi
Kayseri,"
Almer Hotel
","Osman Kavuncu Cad. Düven Önü Meydanı Melikgazi Merkez, Melikgazi"
Kayseri,"
Ommer Hotel
",Osman Kavuncu Bulvari No 425
Kayseri,"
Novotel Kayseri
","Yeni Pervane Mah. Kocasinan Bulv. No:163 Argıncık, Kocasinan"
Kayseri,"
Hilton Kayseri
","Gevher Nesibe Mah. Cumhuriyet Meydanı Tekin Sok. No:2 Kocasinan Merkez, Kocasinan"
Kayseri,"
İbis Otel
","Yeni Pervane Mah. Kocasinan Bulv. No:163 Argıncık, Kocasinan"
Şahinbey,"
Otel Veliç
",Atatürk Bulv. No:23 Şahinbey Merkez
Gaziantep,"
Beger Otel
",İstasyon Mahallesi Cumhuriyet Caddesi No:76
Gaziantep,"
Royal Gaziantep Hotel
","İncilipınar Mah. Kıbrıs Cad. No 9 Alleben, Şehitkamil"
Gaziantep,"
Nil Otel
","Atatürk Bulv. No:53 Şahinbey Merkez, Şahinbey"
Gaziantep,"
Beliz Hotel
","Bey Mahallesi Mehmet Tevfik Uygunlar Sokak No:12, Sahinbey"
Gaziantep,"
Asude Konak
","Şekeroğlu Mah. Millet Sok. No:20 Tabakhane, Şahinbey"
Gaziantep,"
Anadolu Evleri
","Şekeroğlu Mah. Köroğlu Sok. No:6 Tabakhane, Şahinbey"
Şahinbey,"
Ali Bey Konağı
",Tışlaki Mah. Kafadar Sok No 6
Gaziantep,"
Gaziantep Üniversitesi Turizm Uygulama Oteli
","Gaziantep Üniversitesi Kampüsü Burç Yolu Şahinbey Merkez, Şahinbey"
Gaziantep,"
Zeynep Hanim Konagi
",Bey Mah. Ataturk Bulv Eski Sinema Sok. No 17
Gaziantep,"
Rahmi Bey Konagi Hotel
",Sekeroglu Mahallesi Gulluoglu Sok. No: 6 Sahinbey
Şahinbey,"
Hidiroglu Konak
",Eyuboglu Mah. Hidir Sok. No:19
Gaziantep,"
Gap Otel
","Bey Mah. Atatürk Bulv. No:10 Şahinbey Merkez, Şahinbey"
Şahinbey,"
Hotel Büyük Veliç
",Türkmenler Cad. No:33 Şahinbey Merkez
Gaziantep,"
Gaziantep Plaza Hotel
",incilipınar Mah. Nail Bilen Cad. No:3
Gaziantep,"
Palmiye Hotel
",IncilipInar Mah. Ali Fuat Cebesoy Cad. No. 19
Gaziantep,"
Velic Village Kirevleri
",Durantas Mah. Er Cad. No:23 Sahinbey
Gaziantep,"
The Anatolian Hotel
","Mücahitler Mah. Gazi Muhtar Paşa Bulv. No:50 Alleben, Şehitkamil"
Gaziantep,"
Hotel Gulluoglu
",12 Hayriye Caddesi 30154
Gaziantep,"
Yesemek Otel
",Çukur Mah. İsmail Say Sok. No:4
Gaziantep,"
Ayintap Hotel
",İncirli Pınar Mah. Nail Bilen Cad. No 2 Şehitkamil Merkez
Eskişehir,"
Verman Otel
",Yeni Bağlar Mah. Uludağ Sok. No:2 Tepebaşı
Eskişehir,"
Hotel Tekinogullari
",Istasyon Cad. No:19
Eskişehir,"
Ada Life Otel
",İstiklal Mah. Adalar Sok. No 2
Şahinbey,"
Ugurlu Thermal Resort
",Burc Kasabasi Yolu Durantas Mevkii Er Caddesi No: 23
Şahinbey,"
Uğurlu Hotel
",Bey Mah. Kayacık Sok. No:14 Şahinbey Merkez
Gaziantep,"
Dedeman Gaziantep Hotel
",Nesimi Mahallesi Gaziantep Caddesi No: 160
Gaziantep,"
Norton Otel
",Gazi Muhtar Pasa Bulvari No: 10
Gaziantep,"
Teymur Continental
",Gazi Muhtar Pasa Blv. 9.Cd No:33
