sehir,isim,ilce,adres
İstanbul Otelleri,"
Sultanahmet Park Hotel
",> Sultanahmet,Binbirdirek Mah. Klodfarer Cad. No 19
İstanbul Otelleri,"
Riva Hotel
",> Beyoglu,Aydede Caddesi 8
İstanbul Otelleri,"
Harmony Hotel Istanbul
",> Sultanahmet,Kucukayasofya Mah. Aksakal Cad.No:26
İstanbul Otelleri,"
Evsen Hotel
",> Sultanahmet,"Hoca Paşa Mah. İbni Kemal Cad. No:19 Sirkeci, Fatih"
İstanbul Otelleri,"
Ada İstanbul
",> Sultanahmet,"Binbirdirek Mah. Şehit Mehmet Paşa Yokuşu Sok. No:30 Sultanahmet, Fatih"
İstanbul Özel Konaklamalar,"
The House of Tulpan
",> Beyoglu,Katip Celebi Mah. Abdullah Sokak No:11 Beyoglu
İstanbul Otelleri,"
Taksim Gönen Otel
",> Beyoglu,"Aydede Cad. No:15 Taksim, Beyoğlu"
İstanbul Oda ve Kahvaltı / Pansiyon,"
Suite Dreams Istanbul
",> Beyoglu,Kocatepe Mah. Feridiye Cad. No:135 Taksim - Beyoğlu
İstanbul Otelleri,"
Rast Hotel
",> Sultanahmet,"Binbirdirek Mah. Klodfarer Cad. No:4 Sultanahmet, Fatih"
İstanbul Otelleri,"
Garden House Istanbul
",> Sultanahmet,Kucuk Ayasofya Mah. Sehit Mehmetpasa Sokak No:11/13
İstanbul Otelleri,"
Elite World İstanbul
",> Beyoglu,Sehit Muhtar Caddesi No 42
İstanbul Otelleri,"
Hotel Sultanahmet
",> Sultanahmet,Divanyolu Cad No 20
İstanbul Otelleri,"
Hotel Sapphire
",> Sultanahmet,"İbn-i Kemal Cad. No:14 D:16 Sirkeci, Fatih"
İstanbul Otelleri,"
Sumahan On The Water
",> Uskudar,"Kuleli Cad. No:51 Çengelköy, Üsküdar"
İstanbul Otelleri,"
Georges Hotel Galata
",> Beyoglu,"Serdar-ı Ekrem Sok. No: 24 Galata, Beyoğlu"
İstanbul Otelleri,"
Hotel Regno
",> Sisli,Abide-i Hurriyet Cad. No:102
İstanbul Otelleri,"
Şebnem Hotel
",> Sultanahmet,Akbıyık Cad. Adiye Sok. No:1
İstanbul Otelleri,"
The Plaza Hotel
",> Besiktas,Balmumcu Mah. Barbaros Bulv. No:165
İstanbul Otelleri,"
OldCity Viva Hotel
",> Sultanahmet,"Hoca Paşa Mah. Orhaniye Cad. No:20 Sirkeci, Fatih"
İstanbul Otelleri,"
Martinenz Hotel
",> Fener & Balat,Koska Caddesi 6 / 1
İstanbul Otelleri,"
Hotel Valide Sultan Konağı
",> Sultanahmet,Cankurtaran Mah. İshak Paşa Cad. Kutlugün Sok. No:1
İstanbul Otelleri,"
Dedeman İstanbul
",> Besiktas,Yıldız Posta Cad. No:50
İstanbul Otelleri,"
Best Point Hotel
",> Sultanahmet,"Cankurtaran Mah. Akbıyık Cad. No:71 Sultanahmet, Fatih"
İstanbul Otelleri,"
The Marmara Pera Hotel
",> Beyoglu,Mesrutiyet Caddesi Tepebasi
İstanbul Otelleri,"
Rose Garden Suites Istanbul
",> Sultanahmet,Kucuk Ayosofya Mahallesi Sehit Mehmet Pasa No:11/13
İstanbul Otelleri,"
The Golden Horn Hotel
",> Sultanahmet,Ebusuud Cad. No:26 Fatih
İstanbul Otelleri,"
Lavanta Hotel
",> Beyoglu,Istiklal Cad. Suslu Saksi Sokak No: 17
İstanbul Otelleri,"
The Marmara Sisli
",> Sisli,Ortaklar Street No 30 Mecidiyekoy
İstanbul Otelleri,"
Manesol Boutique Galata
",> Beyoglu,"Arapcami Mahallesi, Bankalar Caddesi Billlur Sokak No:1/A Karaköy"
İstanbul Otelleri,"
Aston Residence
",> Beyoglu,Feridiye Caddesi No:26
